filename,words
400.jpg,A
401.jpg,B
402.jpg,CH
403.jpg,D
404.jpg,E
405.jpg,Ẹ
406.jpg,G
407.jpg,H
408.jpg,I
409.jpg,Ị
410.jpg,J
411.jpg,K
412.jpg,M
413.jpg,N
414.jpg,NG
415.jpg,NY
416.jpg,O
417.jpg,Ọ
418.jpg,P
419.jpg,R
420.jpg,S
421.jpg,T
422.jpg,U
423.jpg,Ụ
424.jpg,V
425.jpg,W
426.jpg,Y
427.jpg,Za
428.jpg,b
429.jpg,ch
430.jpg,d
431.jpg,e
432.jpg,ẹ
433.jpg,g
434.jpg,h
435.jpg,i
436.jpg,Ị
437.jpg,j
438.jpg,k
439.jpg,m
440.jpg,n
441.jpg,ng
442.jpg,ny
443.jpg,o
444.jpg,ọ
445.jpg,p
446.jpg,r
447.jpg,s
448.jpg,t
449.jpg,uụ
450.jpg,v
451.jpg,w
452.jpg,y
453.jpg,z
454.jpg,A
455.jpg,B
456.jpg,CH
457.jpg,D
458.jpg,E
459.jpg,Ẹ
460.jpg,G
461.jpg,H
462.jpg,I
463.jpg,Ị
464.jpg,J
465.jpg,K
466.jpg,M
467.jpg,N
468.jpg,NG
469.jpg,NY
470.jpg,O
471.jpg,Ọ
472.jpg,P
473.jpg,R
474.jpg,S
475.jpg,T
476.jpg,U
477.jpg,Ụ
478.jpg,V
479.jpg,W
480.jpg,Y
481.jpg,Za
482.jpg,b
483.jpg,ch
484.jpg,d
485.jpg,e
486.jpg,ẹ
487.jpg,g
488.jpg,h
489.jpg,i
490.jpg,Ị
491.jpg,j
492.jpg,k
493.jpg,m
494.jpg,n
495.jpg,ng
496.jpg,ny
497.jpg,o
498.jpg,ọ
499.jpg,p
